Device model,Users
SM-G950F,109894
(not set),71215
SM-G960F,58687
SM-G930F,57658
SM-G965F,53510
SM-G955F,45891
SM-G935F,39518
ANE-LX1,39056
SM-A520F,35298
SM-G975F,34094
SM-N950F,30563
SM-G973F,26775
SM-N960F,26386
SM-G950U,22891
SM-N950U,22817
SM-G965U,22542
SM-N960U,21915
SM-G960U,20684
SM-A530F,18662
SM-G955U,18549
CLT-L29,17476
SM-A750FN,15464
Redmi Note 7,14954
SM-G975U,14439
SNE-LX1,14376
SM-A505FN,14073
SM-G920F,13460
RNE-L21,13376
A6003,13023
Redmi Note 5,12388
FIG-LX1,11835
SM-G9650,11263
Pixel 2 XL,11071
LYA-L29,10858
A5010,10812
A6013,10800
EML-L29,10711
Redmi Note 4,10454
SM-A600FN,10416
SM-G9600,9734
COL-L29,9714
VOG-L29,9632
Mi A1,9108
SM-G610M,9023
SM-G970F,8945
SM-J530F,8916
A5000,8659
XT1710-02,8570
SM-G925F,8025
WAS-LX1A,7731
Moto G (5) Plus,7646
Pixel 3 XL,7562
JSN-L21,7533
SM-J510FN,7510
Pixel 2,7326
A3003,7285
SM-G973U,7164
SM-G930V,7114
PRA-LX1,7093
Mi A2 Lite,6974
SM-A510F,6935
LLD-L31,6912
POCOPHONE F1,6903
Pixel 3,6895
Moto G (5S) Plus,6637
SM-T580,6629
VTR-L09,6613
Redmi 5 Plus,6607
Moto G6 Play,6539
SM-J600FN,6508
SM-G570M,6496
POT-LX1,6470
Mi A2,6431
Moto G6 Plus,6409
SM-A605FN,6403
Moto G5,6396
A6000,6197
SM-A320FL,6149
Redmi 4X,6077
BLA-L29,6053
MI 8 Lite,6007
WAS-LX1,5821
Redmi Note 6 Pro,5651
Moto G (4),5518
SM-A405FN,5514
MI 8,5513
Moto G (5S),5471
SM-J730F,5446
SM-N9600,5345
MI 9,5153
SM-J810M,5015
